Query,Started,Ended,Billing Tier,Bytes
query/query1.sql,"1683621210434","1683621210549",null,"0"
query/query2.sql,"1683621212636","1683621212753",null,"0"
query/query3.sql,"1683621214782","1683621214885",null,"0"
query/query4.sql,"1683621217028","1683621217216",null,"0"
query/query5.sql,"1683621219369","1683621219583",null,"0"
query/query6.sql,"1683621221724","1683621221852",null,"0"
query/query7.sql,"1683621223934","1683621224091",null,"0"
query/query8.sql,"1683621226401","1683621226538",null,"0"
query/query9.sql,"1683621228777","1683621228882",null,"0"
query/query10.sql,"1683621231199","1683621231354",null,"0"
query/query11.sql,"1683621233432","1683621233541",null,"0"
query/query12.sql,"1683621235620","1683621235731",null,"0"
query/query13.sql,"1683621237891","1683621238055",null,"0"
query/query14.sql,"1683621240162","1683621240347",null,"0"
query/query15.sql,"1683621242470","1683621242689",null,"0"
query/query16.sql,"1683621249812","1683621249939",null,"0"
query/query17.sql,"1683621252013","1683621252166",null,"0"
query/query18.sql,"1683621254266","1683621254415",null,"0"
query/query19.sql,"1683621256541","1683621256698",null,"0"
query/query20.sql,"1683621258847","1683621258987",null,"0"
query/query21.sql,"1683621261084","1683621261200",null,"0"
query/query22.sql,"1683621263332","1683621263445",null,"0"
query/query23.sql,"1683621265648","1683621265805",null,"0"
query/query24.sql,"1683621267847","1683621267981",null,"0"
query/query25.sql,"1683621270056","1683621270195",null,"0"
query/query26.sql,"1683621272271","1683621272389",null,"0"
query/query27.sql,"1683621274467","1683621274578",null,"0"
query/query28.sql,"1683621276646","1683621276776",null,"0"
query/query29.sql,"1683621278961","1683621279162",null,"0"
query/query30.sql,"1683621281422","1683621281548",null,"0"
query/query31.sql,"1683621283732","1683621283850",null,"0"
query/query32.sql,"1683621285903","1683621286010",null,"0"
query/query33.sql,"1683621288063","1683621288240",null,"0"
query/query34.sql,"1683621290315","1683621290460",null,"0"
query/query35.sql,"1683621292687","1683621292848",null,"0"
query/query36.sql,"1683621295245","1683621295585",null,"0"
query/query37.sql,"1683621297690","1683621297862",null,"0"
query/query38.sql,"1683621299947","1683621300077",null,"0"
query/query39.sql,"1683621302276","1683621302419",null,"0"
query/query40.sql,"1683621304551","1683621304695",null,"0"
query/query41.sql,"1683621306775","1683621306859",null,"0"
query/query42.sql,"1683621308903","1683621309043",null,"0"
query/query43.sql,"1683621311160","1683621311273",null,"0"
query/query44.sql,"1683621313408","1683621313590",null,"0"
query/query45.sql,"1683621315872","1683621315987",null,"0"
query/query46.sql,"1683621318177","1683621318324",null,"0"
query/query47.sql,"1683621320408","1683621320577",null,"0"
query/query48.sql,"1683621322970","1683621323107",null,"0"
query/query49.sql,"1683621325160","1683621325314",null,"0"
query/query50.sql,"1683621327425","1683621327545",null,"0"
query/query51.sql,"1683621329647","1683621329771",null,"0"
query/query52.sql,"1683621331828","1683621331937",null,"0"
query/query53.sql,"1683621334105","1683621334226",null,"0"
query/query54.sql,"1683621336324","1683621336563",null,"0"
query/query55.sql,"1683621338615","1683621338781",null,"0"
query/query56.sql,"1683621340852","1683621341019",null,"0"
query/query57.sql,"1683621343235","1683621343340",null,"0"
query/query58.sql,"1683621345420","1683621345560",null,"0"
query/query59.sql,"1683621347644","1683621347765",null,"0"
query/query60.sql,"1683621349888","1683621350068",null,"0"
query/query61.sql,"1683621352135","1683621352273",null,"0"
query/query62.sql,"1683621354408","1683621354570",null,"0"
query/query63.sql,"1683621356622","1683621356747",null,"0"
query/query64.sql,"1683621358812","1683621359018",null,"0"
query/query65.sql,"1683621361081","1683621361221",null,"0"
query/query66.sql,"1683621363323","1683621363497",null,"0"
query/query67.sql,"1683621365620","1683621365749",null,"0"
query/query68.sql,"1683621367804","1683621367948",null,"0"
query/query69.sql,"1683621369994","1683621370147",null,"0"
query/query70.sql,"1683621372271","1683621372381",null,"0"
query/query71.sql,"1683621374496","1683621374630",null,"0"
query/query72.sql,"1683621376751","1683621376938",null,"0"
query/query73.sql,"1683621378987","1683621379084",null,"0"
query/query74.sql,"1683621381273","1683621381411",null,"0"
query/query75.sql,"1683621383552","1683621383708",null,"0"
query/query76.sql,"1683621385862","1683621385978",null,"0"
query/query77.sql,"1683621388058","1683621388254",null,"0"
query/query78.sql,"1683621390295","1683621390483",null,"0"
query/query79.sql,"1683621392606","1683621392737",null,"0"
query/query80.sql,"1683621394828","1683621395024",null,"0"
query/query81.sql,"1683621397078","1683621397182",null,"0"
query/query82.sql,"1683621399238","1683621399351",null,"0"
query/query83.sql,"1683621401387","1683621401503",null,"0"
query/query84.sql,"1683621403612","1683621403768",null,"0"
query/query85.sql,"1683621405815","1683621405991",null,"0"
query/query86.sql,"1683621408104","1683621408209",null,"0"
query/query87.sql,"1683621410290","1683621410423",null,"0"
query/query88.sql,"1683621412513","1683621412814",null,"0"
query/query89.sql,"1683621414893","1683621415002",null,"0"
query/query90.sql,"1683621417080","1683621417188",null,"0"
query/query91.sql,"1683621419231","1683621419386",null,"0"
query/query92.sql,"1683621421583","1683621421710",null,"0"
query/query93.sql,"1683621424166","1683621424280",null,"0"
query/query94.sql,"1683621426398","1683621426552",null,"0"
query/query95.sql,"1683621428597","1683621428721",null,"0"
query/query96.sql,"1683621430776","1683621430882",null,"0"
query/query97.sql,"1683621433038","1683621433152",null,"0"
query/query98.sql,"1683621435167","1683621435286",null,"0"
query/query99.sql,"1683621437354","1683621437455",null,"0"
